Booking_ID;no_of_adults;no_of_children;no_of_weekend_nights;no_of_week_nights;type_of_meal_plan;required_car_parking_space;room_type_reserved;lead_time;arrival_year;arrival_month;arrival_date;market_segment_type;repeated_guest;no_of_previous_cancellations;no_of_previous_bookings_not_canceled;avg_price_per_room;no_of_special_requests;booking_status
UID_00001;1;0;1;0;Meal Plan 1;1;Room_Type 1;37;2018;3;13;Corporate;1;0;2;67;0;Not_Canceled
UID_00002;2;0;2;5;Meal Plan 1;0;Room_Type 4;138;2018;5;21;Online;0;0;0;117.91;1;Canceled
UID_00003;2;0;0;1;Meal Plan 1;0;Room_Type 1;4;2018;11;22;Online;0;0;0;111;1;Canceled
UID_00004;2;0;2;0;Meal Plan 2;0;Room_Type 1;386;2018;10;23;Offline;0;0;0;115;1;Canceled
UID_00005;2;0;0;2;Meal Plan 2;0;Room_Type 1;102;2017;10;16;Offline;0;0;0;101.5;0;Canceled
UID_00006;3;0;2;1;Meal Plan 1;0;Room_Type 4;23;2018;12;3;Online;0;0;0;154;1;Not_Canceled
UID_00007;1;0;0;3;Meal Plan 1;0;Room_Type 1;166;2018;11;1;Offline;0;0;0;110;0;Canceled
UID_00008;2;0;1;0;Meal Plan 1;0;Room_Type 1;0;2018;1;17;Online;1;11;16;93;0;Not_Canceled
UID_00009;1;0;0;3;Meal Plan 1;0;Room_Type 1;37;2018;10;13;Offline;0;0;0;95;0;Not_Canceled
UID_00010;2;0;0;2;Meal Plan 2;0;Room_Type 1;273;2017;7;17;Offline;0;0;0;109;0;Canceled
UID_00011;3;0;1;2;Meal Plan 2;0;Room_Type 1;161;2018;3;25;Online;0;0;0;130;0;Canceled
UID_00012;3;0;0;1;Meal Plan 1;0;Room_Type 4;5;2018;11;25;Online;0;0;0;161;2;Not_Canceled
UID_00013;1;0;0;2;Meal Plan 1;0;Room_Type 4;4;2018;11;8;Corporate;1;0;5;94;1;Not_Canceled
UID_00014;1;0;1;1;Meal Plan 2;0;Room_Type 1;301;2018;7;30;Offline;0;0;0;90;0;Not_Canceled
UID_00015;2;0;1;2;Meal Plan 1;0;Room_Type 1;20;2017;9;25;Offline;0;0;0;160;0;Canceled
UID_00016;2;0;0;2;Meal Plan 1;0;Room_Type 1;107;2017;9;9;Online;0;0;0;89.25;1;Not_Canceled
UID_00017;2;0;1;1;Not Selected;0;Room_Type 1;33;2018;9;10;Offline;0;0;0;85.5;0;Not_Canceled
UID_00018;2;0;0;2;Meal Plan 2;0;Room_Type 1;292;2018;7;21;Offline;0;0;0;115;0;Canceled
UID_00019;2;2;0;1;Meal Plan 1;0;Room_Type 6;1;2018;12;1;Online;0;0;0;174;0;Not_Canceled
UID_00020;0;2;0;2;Meal Plan 1;0;Room_Type 2;12;2017;12;24;Online;0;0;0;77.25;1;Not_Canceled
UID_00021;1;0;0;2;Not Selected;0;Room_Type 1;0;2018;8;10;Online;0;0;0;88;0;Not_Canceled
UID_00022;2;0;0;2;Meal Plan 1;0;Room_Type 4;36;2018;6;9;Online;0;0;0;133.2;0;Canceled
UID_00023;1;0;1;1;Meal Plan 1;0;Room_Type 1;4;2018;8;29;Offline;0;0;0;80;0;Not_Canceled
UID_00024;2;0;0;4;Meal Plan 1;0;Room_Type 1;100;2018;9;28;Offline;0;0;0;100;0;Canceled
